"","population","family","body","sub","mid","ilab","slab","post"
"364","INLAND","1005",166,80,21,21,16,7
"365","INLAND","1005",164,81,21,20,16,6
"366","INLAND","1005",166,83,21,20,16,8
"367","INLAND","1005",169,76,21,20,16,7
"368","INLAND","1008",170,79,19,20,16,7
"369","INLAND","1008",169,77,21,20,16,6
"370","INLAND","1008",171,79,21,20,16,6
"371","INLAND","1011",167,82,21,22,17,6
"372","INLAND","1011",168,78,21,21,16,6
"373","INLAND","1011",168,80,21,20,16,6
"374","INLAND","1011",170,83,21,20,16,7
"375","INLAND","1011",170,86,21,20,16,6
"376","INLAND","1044",164,77,19,20,16,6
"377","INLAND","1044",NA,NA,21,20,16,6
"378","INLAND","1044",NA,NA,21,20,16,6
"379","INLAND","1044",NA,NA,21,20,16,6
"380","INLAND","1044",NA,NA,21,20,16,6
"381","INLAND","1044",NA,NA,21,20,16,7
"382","INLAND","1044",NA,NA,21,21,17,6
"383","INLAND","1044",164,80,19,20,16,6
"384","INLAND","1044",167,75,21,20,16,6
"385","INLAND","1044",167,76,21,20,16,7
"386","INLAND","1044",167,81,21,20,16,6
"387","INLAND","1044",168,83,21,20,16,5
"388","INLAND","1045",164,77,21,21,16,6
"389","INLAND","1045",162,79,19,20,16,6
"390","INLAND","1045",163,NA,21,20,16,6
"391","INLAND","1045",167,81,21,20,16,7
"392","INLAND","1045",168,79,21,20,16,6
"393","INLAND","1045",172,80,19,20,15,6
"394","INLAND","1046",160,78,19,20,16,6
"395","INLAND","1046",161,79,21,20,16,8
"396","INLAND","1046",166,86,21,19,17,6
"397","INLAND","1046",169,83,21,20,16,6
"398","INLAND","1047",169,79,19,20,16,6
"399","INLAND","1047",161,73,21,20,16,6
"400","INLAND","1047",164,80,21,20,16,6
"401","INLAND","1047",166,80,21,20,16,6
"402","INLAND","1047",167,73,21,20,16,7
"403","INLAND","1047",167,77,21,20,16,7
"404","INLAND","1048",170,91,21,20,15,6
"405","INLAND","1048",167,89,21,20,16,6
"406","INLAND","1048",169,83,21,20,15,7
"407","INLAND","1048",170,87,21,20,16,6
"408","INLAND","1048",173,80,21,20,16,6
"409","INLAND","1048",173,80,21,20,16,6
"410","INLAND","1052",171,80,19,20,16,7
"411","INLAND","1052",NA,NA,21,20,16,6
"412","INLAND","1052",165,79,21,20,16,6
"413","INLAND","1052",168,79,21,20,15,6
"414","INLAND","1052",171,83,21,19,16,7
"415","INLAND","1052",172,83,21,20,16,6
"416","INLAND","1052",172,84,19,19,16,5
"417","INLAND","1056",170,78,21,20,14,7
"418","INLAND","1056",166,86,19,20,16,8
"419","INLAND","1056",168,87,21,20,16,6
"420","INLAND","1058",165,78,19,20,16,6
"421","INLAND","1058",162,80,21,20,16,6
"422","INLAND","1058",166,83,21,20,16,7
"423","INLAND","1058",167,81,21,20,16,6
"424","INLAND","1058",167,86,21,20,16,6
"425","INLAND","1058",169,81,21,20,16,6
"426","INLAND","1060",169,81,19,20,16,6
"427","INLAND","1169",163,NA,19,20,16,6
"428","INLAND","1169",NA,83,21,20,16,6
"429","INLAND","1169",NA,89,21,21,17,6
"430","INLAND","1169",166,85,21,20,16,6
"431","INLAND","1169",168,83,21,20,16,6
"432","INLAND","1169",168,85,21,19,16,6
"433","INLAND","1169",170,77,21,20,16,6
"434","INLAND","1169",172,85,21,20,16,6
"435","INLAND","1180",169,85,21,20,16,6
"436","INLAND","1180",167,81,19,20,16,7
"437","INLAND","1180",168,81,21,20,16,7
"438","INLAND","1180",171,81,21,20,16,6
"439","INLAND","1180",171,84,21,20,16,7
"440","INLAND","1180",171,89,19,20,16,7
"441","INLAND","1180",172,83,21,19,16,6
"442","INLAND","1185",166,NA,21,20,15,6
"443","INLAND","1185",160,79,21,20,16,7
"444","INLAND","1185",161,79,21,20,14,6
"445","INLAND","1185",162,77,21,20,15,6
"446","INLAND","1185",164,78,21,18,15,6
"447","INLAND","1185",165,77,21,20,16,6
"448","INLAND","1186",168,NA,19,21,16,7
"449","INLAND","1186",NA,NA,19,20,16,7
"450","INLAND","1186",164,85,21,20,16,4
"451","INLAND","1186",169,84,21,20,16,6
